_id,GEOID,NAMELSAD,SidewalkStepLFt,StreetLFt,Ratio
697,420034773002,Block Group 2,2438.601153,247.1673947,9.866192729
30,420030509001,Block Group 1,34060.43485,5125.794855,6.644907924
1100,420039822001,Block Group 1,51352.28584,12695.0221,4.045072582
124,420031401003,Block Group 3,23168.94754,6408.606643,3.615286259
162,420031517006,Block Group 6,18191.33508,5276.41379,3.447670294
